Date	R.A.	D_RA	Dec.	D_Dec
2002.57	-22.35	5.64	24.37	5.51
2003.44	-14.04	4.77	14.56	5.21
2004.51	-61.32	4.42	51.38	4.92
2005.42	-77.09	5.04	77.41	5.62
2006.72	-102.05	3.99	99.71	4.66
2007.25	-96.00	5.64	93.40	5.51
2008.26	-92.50	5.5	95.00	8.5
2008.36	-95.09	4.77	97.11	5.21
2009.50	-95.03	5.64	99.02	5.51
2010.36	-70.80	4.77	89.50	5.21 
2010.36	-88.12	4.6	92.50	7.2 
2011.34	-48.77	4.42	70.92	4.92
2012.37	-22.92	5.64	59.11	5.51
2012.49	-27.50	3.4	65.00	5.45
2013.49	-20.74	4.77	41.89	5.21
2017.50	-81.38	2.16	102.44	3.23
2018.35	-84.89	1.33	90.87	1.20
2019.37	-82.27	5.00	101.26	5.00
